direction_key,winner,winner_mean,margin,bicleaner_ai_rank,m_prometheus_7b_rank,metricx24_rank,qwen3_14b_rank,qwen3_4b_instruct_2507_rank,qwen3_8b_rank,shaomutan_remedy_9b_22_rank,wmt23_cometkiwi_da_xl_rank,xcomet_xl_rank,bicleaner_ai_mean,m_prometheus_7b_mean,metricx24_mean,qwen3_14b_mean,qwen3_4b_instruct_2507_mean,qwen3_8b_mean,shaomutan_remedy_9b_22_mean,wmt23_cometkiwi_da_xl_mean,xcomet_xl_mean
ace_Arab->awa_Deva,qwen3-4b-instruct-2507,0.65294674,0.03441,9,5,3,4,1,2,8,7,6,0.018469,0.328223,0.576199,0.574126,0.652947,0.618537,0.177281,0.178599,0.209211
ace_Arab->ayr_Latn,m-prometheus-7b,0.306042807,0.037058,9,1,3,8,2,7,5,6,4,0.10042,0.306043,0.267583,0.1211,0.268985,0.145948,0.182667,0.168741,0.214981
ace_Arab->azb_Arab,metricx24,0.426279564,0.062671,9,7,1,4,2,3,6,8,5,0.021366,0.153738,0.42628,0.218372,0.363609,0.251195,0.202307,0.129488,0.20978
ace_Arab->azj_Latn,qwen3-8b,0.764897959,0.105266,9,5,4,3,2,1,6,8,7,0.018304,0.529577,0.548522,0.658875,0.659632,0.764898,0.516148,0.186209,0.208018
ace_Arab->bak_Cyrl,m-prometheus-7b,0.774176207,0.014519,9,1,6,4,5,3,2,8,7,0.023037,0.774176,0.47725,0.626167,0.6144,0.652867,0.759658,0.100466,0.208017
ace_Arab->bam_Latn,shaomutan_remedy-9b-22,0.591453287,0.196858,9,3,2,8,4,7,1,5,6,0.085927,0.322135,0.394596,0.16001,0.318318,0.16999,0.591453,0.260842,0.221937
ace_Arab->ban_Latn,m-prometheus-7b,0.775141862,0.10465,9,1,2,3,5,4,6,8,7,0.051401,0.775142,0.670492,0.519368,0.495704,0.503683,0.294311,0.187265,0.210339
ace_Arab->bel_Cyrl,m-prometheus-7b,0.856112494,0.032688,9,1,6,5,2,3,4,8,7,0.026332,0.856112,0.571734,0.720747,0.823425,0.784873,0.781901,0.199236,0.210336
ace_Arab->bem_Latn,metricx24,0.454107701,0.111216,9,6,1,8,2,3,5,7,4,0.042882,0.18676,0.454108,0.157939,0.342892,0.224181,0.197761,0.172989,0.213778
ace_Arab->ben_Beng,qwen3-8b,0.750034843,0.005756,9,5,6,4,3,1,2,7,8,0.006973,0.702977,0.686256,0.705316,0.739657,0.750035,0.744279,0.234432,0.206435
ace_Arab->bho_Deva,qwen3-8b,0.640920856,0.021956,9,5,4,3,2,1,7,8,6,0.00795,0.361911,0.562925,0.570781,0.618965,0.640921,0.172282,0.14007,0.208271
ace_Arab->bjn_Arab,m-prometheus-7b,0.589158785,0.051996,2,1,3,4,5,6,9,7,8,0.537163,0.589159,0.501248,0.456058,0.42214,0.355411,0.208648,0.239305,0.233054
ace_Arab->bjn_Latn,m-prometheus-7b,0.762055749,0.180572,9,1,3,2,4,5,6,8,7,0.046665,0.762056,0.572795,0.581483,0.57115,0.570816,0.31136,0.166202,0.210633
ace_Arab->bod_Tibt,metricx24,0.49628572,0.233558,9,8,1,7,2,5,6,4,3,0.048008,0.061722,0.496286,0.115246,0.262728,0.168681,0.158265,0.179848,0.223672
ace_Arab->bos_Latn,qwen3-8b,0.803773021,0.00552,9,6,5,4,2,1,3,8,7,0.018291,0.716147,0.748545,0.760383,0.798253,0.803773,0.761755,0.190351,0.210839
ace_Arab->bug_Latn,metricx24,0.462433329,0.065987,9,2,1,4,3,5,8,6,7,0.159536,0.396446,0.462433,0.264271,0.368044,0.242125,0.18433,0.220126,0.216048
ace_Arab->bul_Cyrl,qwen3-4b-instruct-2507,0.806475859,0.012405,9,4,6,5,1,3,2,8,7,0.027455,0.760159,0.646912,0.747417,0.806476,0.786979,0.794071,0.171754,0.212584
ace_Arab->cat_Latn,qwen3-4b-instruct-2507,0.863106023,0.036356,9,2,6,5,1,3,4,8,7,0.051585,0.82675,0.639702,0.749602,0.863106,0.822867,0.755282,0.17187,0.21142
ace_Arab->ceb_Latn,m-prometheus-7b,0.749596814,0.013001,9,1,4,5,2,3,6,8,7,0.01631,0.749597,0.662342,0.661623,0.736595,0.715968,0.285014,0.164222,0.209221
ace_Arab->ces_Latn,qwen3-4b-instruct-2507,0.820318566,0.013101,9,3,6,5,1,2,4,8,7,0.024843,0.777954,0.560255,0.762623,0.820319,0.807218,0.76508,0.157306,0.212576
ace_Arab->cjk_Latn,metricx24,0.311840792,0.06867,9,7,1,8,2,6,5,4,3,0.044712,0.120682,0.311841,0.101792,0.243171,0.141672,0.191934,0.20767,0.213564
ace_Arab->ckb_Arab,metricx24,0.604000964,0.101537,9,2,1,5,4,3,6,8,7,0.112975,0.502464,0.604001,0.395202,0.466884,0.478178,0.390948,0.177786,0.219834
ace_Arab->crh_Latn,m-prometheus-7b,0.619985067,0.035675,9,1,6,4,5,3,2,8,7,0.007981,0.619985,0.335767,0.510229,0.481458,0.522384,0.58431,0.097643,0.205154
ace_Arab->cym_Latn,m-prometheus-7b,0.739776008,0.130637,9,1,4,6,3,5,2,8,7,0.020747,0.739776,0.585653,0.55555,0.604062,0.571563,0.609139,0.184201,0.211885
ace_Arab->dan_Latn,qwen3-8b,0.81001991,0.001732,9,3,6,5,2,1,4,8,7,0.024657,0.767033,0.644793,0.732653,0.808288,0.81002,0.759001,0.184835,0.212376
ace_Arab->deu_Latn,qwen3-8b,0.810532603,0.002334,9,2,6,4,3,1,5,8,7,0.025422,0.808198,0.761975,0.773678,0.802066,0.810533,0.767808,0.179682,0.22136
ace_Arab->dik_Latn,qwen3-4b-instruct-2507,0.333663514,0.019915,9,2,3,8,1,7,6,5,4,0.082996,0.313748,0.238693,0.126824,0.333664,0.155475,0.181957,0.201274,0.218047
ace_Arab->dyu_Latn,metricx24,0.285728564,0.024524,9,6,1,8,2,7,5,4,3,0.044509,0.137491,0.285729,0.101533,0.261205,0.125694,0.173873,0.205256,0.215377
ace_Arab->dzo_Tibt,metricx24,0.436124802,0.118181,8,9,1,7,4,6,2,5,3,0.057407,0.025485,0.436125,0.099487,0.180075,0.130299,0.317944,0.155529,0.209547
ace_Arab->ell_Grek,qwen3-8b,0.778889995,0.001127,9,5,6,4,3,1,2,7,8,0.023265,0.746476,0.63637,0.752668,0.760811,0.77889,0.777763,0.222598,0.212933
ace_Arab->eng_Latn,qwen3-4b-instruct-2507,0.90998009,0.031692,9,3,6,2,1,4,5,7,8,0.02594,0.85332,0.622406,0.878288,0.90998,0.836481,0.763456,0.298861,0.236131
ace_Arab->epo_Latn,qwen3-4b-instruct-2507,0.734395222,0.030719,9,6,4,5,1,3,2,8,7,0.0181,0.315729,0.650664,0.621966,0.734395,0.683828,0.703676,0.20664,0.213054
ace_Arab->est_Latn,qwen3-8b,0.765749129,0.03449,9,3,6,4,5,1,2,8,7,0.017997,0.73007,0.481738,0.670881,0.64999,0.765749,0.731259,0.160495,0.209926
ace_Arab->eus_Latn,m-prometheus-7b,0.773086112,0.035326,9,1,5,4,6,3,2,8,7,0.02258,0.773086,0.610417,0.62556,0.584027,0.675162,0.73776,0.194545,0.213138
ace_Arab->ewe_Latn,shaomutan_remedy-9b-22,0.560924397,0.22547,9,6,2,8,3,7,1,4,5,0.058187,0.140189,0.335454,0.119676,0.276635,0.130772,0.560924,0.236539,0.213549
ace_Arab->fao_Latn,m-prometheus-7b,0.719347934,0.112011,9,1,6,4,5,3,2,8,7,0.010341,0.719348,0.503861,0.559144,0.509517,0.566192,0.607337,0.113199,0.203639
ace_Arab->fij_Latn,shaomutan_remedy-9b-22,0.62619795,0.085788,9,8,2,4,3,6,1,5,7,0.040869,0.177571,0.54041,0.243544,0.268143,0.231229,0.626198,0.239294,0.211836
ace_Arab->fin_Latn,shaomutan_remedy-9b-22,0.793416418,0.024536,9,3,6,5,4,2,1,7,8,0.019334,0.687626,0.56655,0.683932,0.687088,0.76888,0.793416,0.220757,0.207436
ace_Arab->fon_Latn,qwen3-4b-instruct-2507,0.306480836,0.077024,9,3,2,8,1,7,6,5,4,0.061192,0.217904,0.229457,0.13007,0.306481,0.164266,0.174836,0.203753,0.212472
ace_Arab->fra_Latn,qwen3-4b-instruct-2507,0.844897959,0.010627,9,4,6,5,1,2,3,8,7,0.023585,0.806088,0.646739,0.797974,0.844898,0.834271,0.820315,0.150008,0.213153
ace_Arab->fur_Latn,m-prometheus-7b,0.823111,0.182663,9,1,5,4,2,3,6,8,7,0.03006,0.823111,0.502789,0.586272,0.640448,0.628278,0.212108,0.078675,0.20576
ace_Arab->fuv_Latn,metricx24,0.338290831,0.0508,9,6,1,8,2,7,5,4,3,0.072064,0.161951,0.338291,0.116267,0.287491,0.155411,0.167662,0.194249,0.210223
ace_Arab->gaz_Latn,metricx24,0.449247807,0.058143,9,2,1,5,3,4,8,6,7,0.017727,0.391105,0.449248,0.263415,0.336575,0.328143,0.202759,0.217084,0.21384
ace_Arab->gla_Latn,metricx24,0.586540492,0.099125,9,6,1,5,3,4,2,8,7,0.017107,0.291667,0.58654,0.3144,0.430767,0.317178,0.487416,0.180447,0.214838
ace_Arab->gle_Latn,m-prometheus-7b,0.750149328,0.162357,9,1,2,5,3,6,4,8,7,0.021237,0.750149,0.587792,0.482295,0.492573,0.437596,0.487012,0.194639,0.214969
ace_Arab->glg_Latn,m-prometheus-7b,0.876311598,0.021697,9,1,6,4,2,3,5,8,7,0.025792,0.876312,0.637715,0.767889,0.854614,0.831339,0.748014,0.187344,0.213113
ace_Arab->grn_Latn,shaomutan_remedy-9b-22,0.706408112,0.34748,9,3,2,5,4,6,1,8,7,0.103792,0.349054,0.358928,0.341996,0.346575,0.297422,0.706408,0.190886,0.211106
ace_Arab->guj_Gujr,qwen3-8b,0.781632653,0.015355,9,5,6,4,3,1,2,7,8,0.004854,0.641429,0.595491,0.669851,0.743798,0.781633,0.766278,0.250234,0.208173
ace_Arab->hat_Latn,shaomutan_remedy-9b-22,0.604892254,0.000138,9,6,2,5,3,4,1,8,7,0.067449,0.368731,0.604754,0.3722,0.485326,0.443375,0.604892,0.188162,0.21235
ace_Arab->hau_Latn,shaomutan_remedy-9b-22,0.668399488,0.000964,9,4,2,6,3,5,1,8,7,0.015554,0.329044,0.667435,0.21212,0.339467,0.25453,0.668399,0.180308,0.208552
ace_Arab->heb_Hebr,m-prometheus-7b,0.828790443,0.062231,9,1,5,6,4,3,2,8,7,0.017208,0.82879,0.696071,0.680886,0.728472,0.745381,0.766559,0.181051,0.21341
ace_Arab->hin_Deva,shaomutan_remedy-9b-22,0.75667438,0.015515,9,4,6,5,3,2,1,8,7,0.0065,0.680508,0.640394,0.675769,0.729258,0.74116,0.756674,0.19535,0.210928
ace_Arab->hne_Deva,qwen3-4b-instruct-2507,0.605256346,0.043534,9,6,3,4,1,2,7,8,5,0.010155,0.18334,0.553038,0.544624,0.605256,0.561722,0.159174,0.141972,0.207745
ace_Arab->hrv_Latn,qwen3-4b-instruct-2507,0.811747138,0.015202,9,5,6,4,1,2,3,8,7,0.021017,0.755391,0.738469,0.762399,0.811747,0.796546,0.767471,0.186313,0.21034
ace_Arab->hun_Latn,qwen3-8b,0.789228472,0.000432,9,3,6,5,4,1,2,8,7,0.025833,0.732369,0.600311,0.727601,0.728049,0.789228,0.788797,0.181722,0.2111
ace_Arab->hye_Armn,m-prometheus-7b,0.795594823,0.007576,9,1,6,4,5,2,3,7,8,0.009716,0.795595,0.6118,0.707705,0.696391,0.788019,0.783209,0.233332,0.214571
ace_Arab->ibo_Latn,shaomutan_remedy-9b-22,0.510271071,0.014062,9,6,2,5,3,4,1,7,8,0.105255,0.246346,0.496209,0.25992,0.392867,0.356779,0.510271,0.233398,0.210898
ace_Arab->ilo_Latn,qwen3-4b-instruct-2507,0.636824291,0.003275,9,5,2,4,1,3,6,8,7,0.061519,0.400642,0.633549,0.505411,0.636824,0.560214,0.221153,0.201566,0.213818
ace_Arab->ind_Latn,qwen3-4b-instruct-2507,0.851060229,0.013673,9,2,6,5,1,4,3,8,7,0.025543,0.837387,0.786175,0.803997,0.85106,0.818651,0.832738,0.204167,0.222039
ace_Arab->isl_Latn,m-prometheus-7b,0.710816327,0.040473,9,1,6,5,4,3,2,8,7,0.014272,0.710816,0.54018,0.58323,0.590627,0.640697,0.670343,0.200618,0.207557
ace_Arab->ita_Latn,qwen3-4b-instruct-2507,0.869133897,0.026073,9,3,6,4,1,2,5,8,7,0.02208,0.832583,0.684401,0.805475,0.869134,0.843061,0.777917,0.17893,0.212739
ace_Arab->jav_Latn,m-prometheus-7b,0.833041314,0.125059,9,1,3,6,5,4,2,7,8,0.025229,0.833041,0.697519,0.642623,0.67226,0.696103,0.707982,0.229892,0.213782
ace_Arab->jpn_Jpan,qwen3-4b-instruct-2507,0.836077651,0.018437,9,6,5,4,1,2,3,7,8,0.001662,0.608044,0.640898,0.768492,0.836078,0.817641,0.783572,0.271239,0.209421
ace_Arab->kab_Latn,m-prometheus-7b,0.574449975,0.224365,9,1,2,8,3,6,5,7,4,0.098339,0.57445,0.350085,0.157282,0.327904,0.184161,0.204512,0.172172,0.210778
ace_Arab->kac_Latn,metricx24,0.409669619,0.145264,9,8,1,7,2,6,5,4,3,0.061304,0.086187,0.40967,0.120473,0.264405,0.134569,0.175571,0.193998,0.216762
ace_Arab->kam_Latn,metricx24,0.368786429,0.027557,9,3,1,8,2,4,7,6,5,0.053112,0.223673,0.368786,0.151523,0.341229,0.218342,0.166187,0.200075,0.214918
ace_Arab->kan_Knda,shaomutan_remedy-9b-22,0.765193694,0.035627,9,6,5,4,3,2,1,7,8,0.006531,0.527646,0.625982,0.651229,0.703196,0.729567,0.765194,0.261486,0.20562
ace_Arab->kas_Arab,metricx24,0.462848014,0.051494,9,8,1,4,2,3,7,6,5,0.033415,0.134022,0.462848,0.244116,0.411354,0.254057,0.159652,0.161427,0.214621
ace_Arab->kas_Deva,metricx24,0.392469567,0.014754,9,8,1,4,2,3,5,7,6,0.021797,0.093006,0.39247,0.220806,0.377715,0.266705,0.21058,0.139484,0.210155
ace_Arab->kat_Geor,shaomutan_remedy-9b-22,0.844121364,0.132394,9,3,6,4,5,2,1,8,7,0.017413,0.664853,0.622707,0.645839,0.636028,0.711727,0.844121,0.186263,0.209647
ace_Arab->kaz_Cyrl,shaomutan_remedy-9b-22,0.802346737,0.113103,9,5,6,4,3,2,1,8,7,0.016936,0.640159,0.540756,0.655361,0.66219,0.689243,0.802347,0.20742,0.208865
ace_Arab->kbp_Latn,m-prometheus-7b,0.42730214,0.058497,9,1,3,8,2,4,6,5,7,0.060382,0.427302,0.318385,0.180518,0.368805,0.232484,0.218636,0.222981,0.206385
ace_Arab->kea_Latn,qwen3-14b,0.538700846,0.016093,9,4,5,1,3,2,7,8,6,0.035741,0.47768,0.41375,0.538701,0.514535,0.522608,0.201326,0.149594,0.20893
ace_Arab->khk_Cyrl,metricx24,0.576994867,0.065367,9,5,1,4,2,3,6,8,7,0.022803,0.369627,0.576995,0.491613,0.511628,0.502638,0.26869,0.204696,0.209285
ace_Arab->khm_Khmr,shaomutan_remedy-9b-22,0.773075839,0.020353,9,6,5,4,2,3,1,7,8,0.009774,0.530866,0.656734,0.664475,0.752723,0.689099,0.773076,0.319423,0.208885
ace_Arab->kik_Latn,shaomutan_remedy-9b-22,0.7225472,0.31705,9,4,2,6,3,5,1,8,7,0.049943,0.246625,0.405497,0.219308,0.352578,0.240319,0.722547,0.183588,0.211875
ace_Arab->kin_Latn,shaomutan_remedy-9b-22,0.639633516,0.095275,9,7,2,6,3,4,1,5,8,0.125182,0.227785,0.544359,0.235177,0.358766,0.262778,0.639634,0.24636,0.217232
ace_Arab->kir_Cyrl,shaomutan_remedy-9b-22,0.780815855,0.2323,9,5,2,6,4,3,1,7,8,0.023388,0.497382,0.548516,0.492952,0.511155,0.535256,0.780816,0.235144,0.20894
ace_Arab->kmb_Latn,metricx24,0.416851683,0.078345,9,4,1,8,2,6,7,3,5,0.042632,0.216003,0.416852,0.165326,0.338507,0.199263,0.172279,0.234508,0.21444
ace_Arab->kmr_Latn,metricx24,0.557096666,0.143219,9,4,1,5,2,3,6,8,7,0.012449,0.391488,0.557097,0.298497,0.413878,0.395774,0.248515,0.197525,0.214876
ace_Arab->knc_Arab,metricx24,0.301599204,0.06579,8,9,1,7,2,6,4,5,3,0.054765,0.050971,0.301599,0.076556,0.235809,0.100209,0.172803,0.141051,0.206983
ace_Arab->knc_Latn,qwen3-4b-instruct-2507,0.286849179,0.000684,9,3,2,8,1,7,6,5,4,0.051762,0.27212,0.286165,0.130667,0.286849,0.151404,0.176684,0.186993,0.212159
ace_Arab->kon_Latn,shaomutan_remedy-9b-22,0.611344953,0.195697,9,8,2,7,3,5,1,4,6,0.038908,0.157352,0.415648,0.178457,0.330348,0.215679,0.611345,0.215716,0.211982
ace_Arab->kor_Hang,shaomutan_remedy-9b-22,0.7786822,0.005581,9,5,6,4,3,2,1,7,8,0.005967,0.714928,0.670494,0.718308,0.759452,0.773101,0.778682,0.261722,0.20929
ace_Arab->lao_Laoo,qwen3-14b,0.710791439,0.030463,9,6,4,1,2,5,3,7,8,0.005808,0.480777,0.650066,0.710791,0.680329,0.643634,0.659684,0.294744,0.209832
ace_Arab->lij_Latn,m-prometheus-7b,0.7522001,0.090204,9,1,5,4,2,3,7,8,6,0.029352,0.7522,0.443852,0.555231,0.661996,0.593803,0.203992,0.09699,0.206703
ace_Arab->lim_Latn,m-prometheus-7b,0.794046789,0.185137,9,1,6,3,5,2,4,8,7,0.028371,0.794047,0.523188,0.571956,0.550786,0.60891,0.555564,0.123588,0.206848
ace_Arab->lin_Latn,shaomutan_remedy-9b-22,0.676972634,0.208568,9,8,2,5,3,4,1,6,7,0.054963,0.195769,0.468405,0.231857,0.355032,0.247108,0.676973,0.230894,0.213841
ace_Arab->lit_Latn,shaomutan_remedy-9b-22,0.779264272,0.010539,9,3,6,5,4,2,1,8,7,0.025203,0.763295,0.566058,0.703574,0.726053,0.768726,0.779264,0.182436,0.2121
ace_Arab->lmo_Latn,qwen3-4b-instruct-2507,0.65396217,0.022339,9,4,5,3,1,2,6,8,7,0.038084,0.594734,0.453556,0.595097,0.653962,0.631623,0.218228,0.077982,0.205816
ace_Arab->ltg_Latn,qwen3-4b-instruct-2507,0.322404181,0.01,9,6,3,2,1,4,7,8,5,0.01683,0.189935,0.290994,0.312404,0.322404,0.223489,0.152793,0.046602,0.205813
ace_Arab->ltz_Latn,m-prometheus-7b,0.8022001,0.102618,9,1,2,6,5,3,4,8,7,0.086213,0.8022,0.699583,0.610393,0.619443,0.685117,0.625805,0.103957,0.209067
ace_Arab->lua_Latn,shaomutan_remedy-9b-22,0.552517588,0.142556,9,8,2,7,3,6,1,4,5,0.057092,0.140184,0.409961,0.145779,0.306172,0.177994,0.552518,0.225604,0.215514
ace_Arab->lug_Latn,metricx24,0.398521362,0.005441,9,8,1,7,3,4,2,6,5,0.068889,0.156332,0.398521,0.194873,0.336212,0.24103,0.393081,0.214104,0.214726
ace_Arab->luo_Latn,metricx24,0.375214716,0.082562,8,5,1,9,2,7,6,3,4,0.137478,0.182424,0.375215,0.130936,0.292653,0.155475,0.173095,0.225288,0.213501
ace_Arab->lus_Latn,metricx24,0.446586041,0.092684,9,8,1,6,2,7,3,4,5,0.075366,0.146864,0.446586,0.203166,0.353902,0.20229,0.23478,0.220867,0.217396
ace_Arab->lvs_Latn,qwen3-8b,0.77973121,0.015728,9,3,6,5,4,1,2,8,7,0.034809,0.761777,0.509992,0.717541,0.751264,0.779731,0.764004,0.18197,0.209553
ace_Arab->mag_Deva,qwen3-8b,0.664753609,0.005371,9,5,3,4,2,1,7,8,6,0.013339,0.318437,0.569264,0.568337,0.659383,0.664754,0.183002,0.149341,0.207606
ace_Arab->mai_Deva,qwen3-4b-instruct-2507,0.674196117,0.022275,9,5,3,4,1,2,7,8,6,0.015148,0.417307,0.60823,0.607546,0.674196,0.651921,0.187297,0.156558,0.208823
ace_Arab->mal_Mlym,shaomutan_remedy-9b-22,0.768188638,0.013166,9,6,5,4,2,3,1,7,8,0.003288,0.525217,0.611306,0.7256,0.755022,0.728825,0.768189,0.234378,0.206128
ace_Arab->mar_Deva,shaomutan_remedy-9b-22,0.767866951,0.051754,9,3,6,5,4,2,1,7,8,0.004562,0.71448,0.602605,0.656934,0.712165,0.716112,0.767867,0.226266,0.205008
ace_Arab->min_Arab,m-prometheus-7b,0.673777999,0.052143,2,1,3,4,5,6,9,7,8,0.621635,0.673778,0.502077,0.455779,0.430617,0.371055,0.216979,0.246437,0.225624
ace_Arab->min_Latn,m-prometheus-7b,0.744574415,0.107506,9,1,5,3,4,2,6,8,7,0.069282,0.744574,0.549889,0.617954,0.601234,0.637068,0.321813,0.180083,0.211174
ace_Arab->mkd_Cyrl,qwen3-4b-instruct-2507,0.805898457,0.019119,9,4,6,5,1,2,3,7,8,0.021922,0.753086,0.643816,0.752977,0.805898,0.786779,0.767538,0.221369,0.214354
ace_Arab->mlt_Latn,m-prometheus-7b,0.77442011,0.058764,9,1,6,4,5,3,2,8,7,0.091483,0.77442,0.632582,0.645864,0.636302,0.670652,0.715657,0.150252,0.208585
ace_Arab->mni_Beng,metricx24,0.497445645,0.235156,6,9,1,7,2,4,5,8,3,0.135931,0.047188,0.497446,0.117894,0.26229,0.173524,0.136493,0.117852,0.209387
ace_Arab->mos_Latn,qwen3-4b-instruct-2507,0.289238427,0.056483,9,6,2,8,1,7,4,5,3,0.067129,0.169965,0.232756,0.120503,0.289238,0.138835,0.189896,0.188512,0.214268
ace_Arab->mri_Latn,metricx24,0.477929447,0.089537,9,7,1,5,3,4,2,6,8,0.055667,0.262847,0.477929,0.340304,0.387053,0.351563,0.388392,0.314019,0.213304
ace_Arab->mya_Mymr,shaomutan_remedy-9b-22,0.792306484,0.111744,9,6,5,4,3,2,1,7,8,0.002692,0.350383,0.599628,0.653305,0.669826,0.680562,0.792306,0.303891,0.209494
ace_Arab->nld_Latn,m-prometheus-7b,0.833200597,0.017028,9,1,6,5,2,3,4,8,7,0.020411,0.833201,0.694656,0.758074,0.816172,0.816162,0.7683,0.187826,0.214462
ace_Arab->nno_Latn,m-prometheus-7b,0.801936287,0.013365,9,1,6,5,3,2,4,8,7,0.017282,0.801936,0.635949,0.690642,0.771239,0.788571,0.746699,0.201934,0.209896
ace_Arab->nob_Latn,qwen3-8b,0.79912892,0.005495,9,3,6,5,2,1,4,8,7,0.015733,0.77994,0.625883,0.707735,0.793634,0.799129,0.764388,0.206575,0.211797
ace_Arab->npi_Deva,shaomutan_remedy-9b-22,0.757881831,0.029126,9,5,6,4,3,2,1,7,8,0.007693,0.648776,0.604167,0.651896,0.707765,0.728756,0.757882,0.303728,0.214561
ace_Arab->nso_Latn,metricx24,0.494705486,0.166702,9,3,1,6,2,5,8,4,7,0.064028,0.314276,0.494705,0.227048,0.328004,0.24342,0.177749,0.263993,0.211351
ace_Arab->nus_Latn,qwen3-4b-instruct-2507,0.370627178,0.015127,9,2,3,7,1,8,6,5,4,0.072527,0.3555,0.284235,0.178522,0.370627,0.170627,0.179092,0.203121,0.212277
ace_Arab->nya_Latn,shaomutan_remedy-9b-22,0.609462517,0.044146,9,6,2,5,3,4,1,8,7,0.052915,0.224475,0.565316,0.242837,0.345177,0.265998,0.609463,0.210799,0.214368
ace_Arab->oci_Latn,m-prometheus-7b,0.810647088,0.075431,9,1,6,5,3,2,4,8,7,0.039993,0.810647,0.567766,0.658761,0.717491,0.735217,0.678905,0.090053,0.20848
ace_Arab->ory_Orya,qwen3-4b-instruct-2507,0.793887506,0.022297,9,6,5,4,1,3,2,7,8,0.007701,0.523245,0.585723,0.707377,0.793888,0.738751,0.771591,0.27891,0.208304
