language_pair,classification
kiu_Latn-vie_Latn,0-4
lfn_Latn-por_Latn,0-4
lfn_Latn-tur_Latn,0-4
nds_Latn-nld_Latn,0-4
nds_Latn-pol_Latn,0-4
nds_Latn-por_Latn,0-4
nds_Latn-rus_Cyrl,0-4
nds_Latn-srp_Cyrl,0-4
nds_Latn-swe_Latn,0-4
nds_Latn-tur_Latn,0-4
nds_Latn-vie_Latn,0-4
ory_Orya-por_Latn,0-4
ory_Orya-rus_Cyrl,0-4
shp_Latn-por_Latn,0-4
shp_Latn-rus_Cyrl,0-4
shp_Latn-tur_Latn,0-4
tar_Latn-rus_Cyrl,0-4
und_Beng-ces_Latn,0-4
und_Beng-fas_Arab,0-4
und_Beng-fin_Latn,0-4
und_Beng-hrv_Latn,0-4
und_Beng-hun_Latn,0-4
und_Beng-ita_Latn,0-4
und_Beng-kor_Hang,0-4
und_Beng-nld_Latn,0-4
und_Beng-pol_Latn,0-4
und_Beng-rus_Cyrl,0-4
und_Beng-swe_Latn,0-4
und_Beng-tur_Latn,0-4
und_Beng-vie_Latn,0-4
und_Geor-nld_Latn,0-4
und_Geor-pol_Latn,0-4
und_Geor-por_Latn,0-4
und_Geor-tur_Latn,0-4
und_Hira-nld_Latn,0-4
und_Hira-pol_Latn,0-4
und_Hira-por_Latn,0-4
und_Hira-rus_Cyrl,0-4
und_Hira-swe_Latn,0-4
und_Hira-tur_Latn,0-4
und_Kana-kor_Hang,0-4
und_Kana-nld_Latn,0-4
und_Kana-pol_Latn,0-4
und_Kana-por_Latn,0-4
und_Kana-rus_Cyrl,0-4
und_Kana-srp_Cyrl,0-4
und_Kana-swe_Latn,0-4
und_Kana-tur_Latn,0-4
und_Kana-vie_Latn,0-4
xav_Latn-rus_Cyrl,0-4
xav_Latn-swe_Latn,0-4
xav_Latn-tur_Latn,0-4
awa_Deva-eng_Latn,0-5
ban_Latn-eng_Latn,0-5
bew_Latn-eng_Latn,0-5
cjk_Latn-fra_Latn,0-5
cto_Latn-fra_Latn,0-5
dyu_Latn-eng_Latn,0-5
dyu_Latn-fra_Latn,0-5
enm_Latn-fra_Latn,0-5
enm_Latn-spa_Latn,0-5
fon_Latn-fra_Latn,0-5
fro_Latn-fra_Latn,0-5
fro_Latn-spa_Latn,0-5
gug_Latn-fra_Latn,0-5
hac_Arab-eng_Latn,0-5
hil_Latn-eng_Latn,0-5
kiu_Latn-eng_Latn,0-5
kiu_Latn-fra_Latn,0-5
kiu_Latn-jpn_Jpan,0-5
kiu_Latn-spa_Latn,0-5
kiu_Latn-zho_Hans,0-5
lue_Latn-fra_Latn,0-5
nds_Latn-eng_Latn,0-5
nds_Latn-fra_Latn,0-5
nds_Latn-zho_Hans,0-5
nds_Latn-zho_Hant,0-5
quw_Latn-fra_Latn,0-5
skg_Latn-zho_Hans,0-5
und_Beng-deu_Latn,0-5
und_Beng-eng_Latn,0-5
und_Beng-fra_Latn,0-5
und_Beng-spa_Latn,0-5
und_Grek-eng_Latn,0-5
und_Grek-fra_Latn,0-5
und_Grek-spa_Latn,0-5
und_Kana-eng_Latn,0-5
und_Kana-zho_Hans,0-5
und_Kana-zho_Hant,0-5
asm_Beng-nds_Latn,1-0
asm_Beng-ory_Orya,1-0
ast_Latn-nds_Latn,1-0
ast_Latn-und_Kana,1-0
bho_Deva-ory_Orya,1-0
bre_Latn-nds_Latn,1-0
cym_Latn-nds_Latn,1-0
epo_Latn-nds_Latn,1-0
epo_Latn-und_Kana,1-0
fry_Latn-nds_Latn,1-0
guj_Gujr-mag_Deva,1-0
guj_Gujr-nds_Latn,1-0
guj_Gujr-ory_Orya,1-0
hne_Deva-nds_Latn,1-0
kan_Knda-mag_Deva,1-0
kan_Knda-ory_Orya,1-0
kin_Latn-umb_Latn,1-0
mai_Deva-nds_Latn,1-0
mai_Deva-ory_Orya,1-0
mal_Mlym-nds_Latn,1-0
mal_Mlym-ory_Orya,1-0
mkd_Cyrl-nds_Latn,1-0
mlg_Latn-nds_Latn,1-0
nep_Deva-ory_Orya,1-0
nob_Latn-nds_Latn,1-0
npi_Deva-ory_Orya,1-0
srd_Latn-und_Kana,1-0
abk_Cyrl-nor_Latn,1-1
ace_Latn-jav_Latn,1-1
ace_Latn-war_Latn,1-1
aeb_Arab-nob_Latn,1-1
apc_Arab-mkd_Cyrl,1-1
apc_Arab-nob_Latn,1-1
apc_Arab-nor_Latn,1-1
ars_Arab-mal_Mlym,1-1
ars_Arab-mkd_Cyrl,1-1
ars_Arab-nob_Latn,1-1
ars_Arab-nor_Latn,1-1
ars_Arab-sin_Sinh,1-1
ary_Arab-epo_Latn,1-1
ary_Arab-mal_Mlym,1-1
ary_Arab-mkd_Cyrl,1-1
ary_Arab-nob_Latn,1-1
ary_Arab-nor_Latn,1-1
ary_Arab-npi_Deva,1-1
ary_Arab-sin_Sinh,1-1
ary_Arab-som_Latn,1-1
asm_Beng-ast_Latn,1-1
asm_Beng-bre_Latn,1-1
asm_Beng-cym_Latn,1-1
asm_Beng-guj_Gujr,1-1
asm_Beng-kan_Knda,1-1
asm_Beng-kin_Latn,1-1
asm_Beng-mai_Deva,1-1
asm_Beng-mal_Mlym,1-1
asm_Beng-mlg_Latn,1-1
asm_Beng-nep_Deva,1-1
asm_Beng-npi_Deva,1-1
asm_Beng-sin_Sinh,1-1
asm_Beng-snd_Arab,1-1
asm_Beng-sqi_Latn,1-1
asm_Beng-tel_Telu,1-1
asm_Beng-wln_Latn,1-1
ast_Latn-bre_Latn,1-1
ast_Latn-cym_Latn,1-1
ast_Latn-epo_Latn,1-1
ast_Latn-fry_Latn,1-1
ast_Latn-fur_Latn,1-1
ast_Latn-hbs_Latn,1-1
ast_Latn-ilo_Latn,1-1
ast_Latn-jav_Latn,1-1
ast_Latn-kin_Latn,1-1
ast_Latn-ltz_Latn,1-1
ast_Latn-lzh_Hani,1-1
ast_Latn-mal_Mlym,1-1
ast_Latn-mkd_Cyrl,1-1
ast_Latn-mlg_Latn,1-1
ast_Latn-nep_Deva,1-1
ast_Latn-nno_Latn,1-1
ast_Latn-nob_Latn,1-1
ast_Latn-nor_Latn,1-1
ast_Latn-oci_Latn,1-1
ast_Latn-sin_Sinh,1-1
ast_Latn-snd_Arab,1-1
ast_Latn-sqi_Latn,1-1
ast_Latn-srd_Latn,1-1
ast_Latn-sun_Latn,1-1
ast_Latn-tel_Telu,1-1
ast_Latn-wln_Latn,1-1
ast_Latn-yue_Hani,1-1
aze_Latn-cym_Latn,1-1
aze_Latn-epo_Latn,1-1
aze_Latn-fur_Latn,1-1
aze_Latn-hye_Armn,1-1
aze_Latn-jav_Latn,1-1
aze_Latn-khm_Khmr,1-1
aze_Latn-mal_Mlym,1-1
aze_Latn-mkd_Cyrl,1-1
aze_Latn-mlg_Latn,1-1
aze_Latn-mon_Cyrl,1-1
aze_Latn-nep_Deva,1-1
aze_Latn-nor_Latn,1-1
aze_Latn-sin_Sinh,1-1
aze_Latn-sqi_Latn,1-1
aze_Latn-srd_Latn,1-1
aze_Latn-sun_Latn,1-1
aze_Latn-tel_Telu,1-1
aze_Latn-yue_Hani,1-1
azj_Latn-cym_Latn,1-1
azj_Latn-epo_Latn,1-1
azj_Latn-guj_Gujr,1-1
azj_Latn-hye_Armn,1-1
azj_Latn-kan_Knda,1-1
azj_Latn-khm_Khmr,1-1
azj_Latn-mal_Mlym,1-1
azj_Latn-mkd_Cyrl,1-1
azj_Latn-mya_Mymr,1-1
azj_Latn-nep_Deva,1-1
azj_Latn-nob_Latn,1-1
azj_Latn-nor_Latn,1-1
azj_Latn-sin_Sinh,1-1
azj_Latn-som_Latn,1-1
azj_Latn-sqi_Latn,1-1
azj_Latn-srd_Latn,1-1
azj_Latn-sun_Latn,1-1
azj_Latn-tat_Cyrl,1-1
azj_Latn-tel_Telu,1-1
azj_Latn-tgk_Cyrl,1-1
bak_Cyrl-kir_Cyrl,1-1
bak_Cyrl-nor_Latn,1-1
bak_Cyrl-tat_Cyrl,1-1
bak_Cyrl-uig_Arab,1-1
bem_Latn-kin_Latn,1-1
bem_Latn-nya_Latn,1-1
bem_Latn-run_Latn,1-1
bem_Latn-sna_Latn,1-1
bho_Deva-guj_Gujr,1-1
bho_Deva-kan_Knda,1-1
bho_Deva-mal_Mlym,1-1
bho_Deva-npi_Deva,1-1
bho_Deva-sin_Sinh,1-1
bho_Deva-tel_Telu,1-1
bre_Latn-cym_Latn,1-1
bre_Latn-epo_Latn,1-1
bre_Latn-fry_Latn,1-1
bre_Latn-fur_Latn,1-1
bre_Latn-guj_Gujr,1-1
bre_Latn-jav_Latn,1-1
bre_Latn-kin_Latn,1-1
bre_Latn-ltz_Latn,1-1
bre_Latn-mai_Deva,1-1
bre_Latn-mal_Mlym,1-1
bre_Latn-mkd_Cyrl,1-1
bre_Latn-mlg_Latn,1-1
bre_Latn-nep_Deva,1-1
bre_Latn-nno_Latn,1-1
bre_Latn-nob_Latn,1-1
bre_Latn-nor_Latn,1-1
bre_Latn-oci_Latn,1-1
bre_Latn-sin_Sinh,1-1
bre_Latn-sqi_Latn,1-1
bre_Latn-srd_Latn,1-1
bre_Latn-wln_Latn,1-1
ckb_Arab-kmr_Latn,1-1
ckb_Arab-pbt_Arab,1-1
ckb_Arab-tgk_Cyrl,1-1
crh_Latn-tat_Cyrl,1-1
cym_Latn-epo_Latn,1-1
cym_Latn-fry_Latn,1-1
cym_Latn-fur_Latn,1-1
cym_Latn-guj_Gujr,1-1
cym_Latn-hne_Deva,1-1
cym_Latn-hye_Armn,1-1
cym_Latn-ibo_Latn,1-1
cym_Latn-jav_Latn,1-1
cym_Latn-kan_Knda,1-1
cym_Latn-khk_Cyrl,1-1
cym_Latn-khm_Khmr,1-1
cym_Latn-kin_Latn,1-1
cym_Latn-kir_Cyrl,1-1
cym_Latn-kmr_Latn,1-1
cym_Latn-lim_Latn,1-1
cym_Latn-mal_Mlym,1-1
cym_Latn-mkd_Cyrl,1-1
cym_Latn-mlg_Latn,1-1
cym_Latn-mon_Cyrl,1-1
cym_Latn-mya_Mymr,1-1
cym_Latn-nep_Deva,1-1
cym_Latn-nno_Latn,1-1
cym_Latn-nob_Latn,1-1
cym_Latn-nor_Latn,1-1
cym_Latn-npi_Deva,1-1
cym_Latn-oci_Latn,1-1
cym_Latn-pbt_Arab,1-1
cym_Latn-plt_Latn,1-1
cym_Latn-pus_Arab,1-1
cym_Latn-sin_Sinh,1-1
cym_Latn-som_Latn,1-1
cym_Latn-sqi_Latn,1-1
cym_Latn-srd_Latn,1-1
cym_Latn-sun_Latn,1-1
cym_Latn-tel_Telu,1-1
cym_Latn-tgk_Cyrl,1-1
cym_Latn-uig_Arab,1-1
cym_Latn-wln_Latn,1-1
cym_Latn-yue_Hani,1-1
epo_Latn-fry_Latn,1-1
epo_Latn-fur_Latn,1-1
epo_Latn-guj_Gujr,1-1
epo_Latn-hbs_Latn,1-1
epo_Latn-hne_Deva,1-1
epo_Latn-hye_Armn,1-1
epo_Latn-ibo_Latn,1-1
epo_Latn-ilo_Latn,1-1
epo_Latn-jav_Latn,1-1
epo_Latn-kan_Knda,1-1
epo_Latn-khm_Khmr,1-1
epo_Latn-kin_Latn,1-1
epo_Latn-ltz_Latn,1-1
epo_Latn-lzh_Hani,1-1
epo_Latn-mal_Mlym,1-1
epo_Latn-mkd_Cyrl,1-1
epo_Latn-mlg_Latn,1-1
epo_Latn-mya_Mymr,1-1
epo_Latn-nep_Deva,1-1
epo_Latn-nno_Latn,1-1
epo_Latn-nob_Latn,1-1
epo_Latn-nor_Latn,1-1
epo_Latn-npi_Deva,1-1
epo_Latn-oci_Latn,1-1
epo_Latn-plt_Latn,1-1
epo_Latn-sin_Sinh,1-1
epo_Latn-snd_Arab,1-1
epo_Latn-som_Latn,1-1
epo_Latn-sqi_Latn,1-1
epo_Latn-srd_Latn,1-1
epo_Latn-sun_Latn,1-1
epo_Latn-tel_Telu,1-1
epo_Latn-wln_Latn,1-1
epo_Latn-yue_Hani,1-1
ewe_Latn-ibo_Latn,1-1
ewe_Latn-kin_Latn,1-1
ewe_Latn-lin_Latn,1-1
ewe_Latn-lua_Latn,1-1
ewe_Latn-lug_Latn,1-1
ewe_Latn-nso_Latn,1-1
ewe_Latn-nya_Latn,1-1
ewe_Latn-run_Latn,1-1
ewe_Latn-sna_Latn,1-1
ewe_Latn-som_Latn,1-1
ewe_Latn-sot_Latn,1-1
ewe_Latn-swc_Latn,1-1
ewe_Latn-tso_Latn,1-1
ewe_Latn-tum_Latn,1-1
ewe_Latn-twi_Latn,1-1
fao_Latn-mkd_Cyrl,1-1
fao_Latn-nor_Latn,1-1
fij_Latn-ilo_Latn,1-1
fij_Latn-jav_Latn,1-1
fij_Latn-mri_Latn,1-1
fij_Latn-pag_Latn,1-1
fij_Latn-plt_Latn,1-1
fij_Latn-smo_Latn,1-1
fij_Latn-sun_Latn,1-1
fij_Latn-war_Latn,1-1
fry_Latn-jav_Latn,1-1
fry_Latn-ltz_Latn,1-1
fry_Latn-mal_Mlym,1-1
fry_Latn-mkd_Cyrl,1-1
fry_Latn-mlg_Latn,1-1
fry_Latn-nep_Deva,1-1
fry_Latn-nob_Latn,1-1
fry_Latn-nor_Latn,1-1
fry_Latn-oci_Latn,1-1
fry_Latn-sin_Sinh,1-1
fry_Latn-sqi_Latn,1-1
fry_Latn-tel_Telu,1-1
ful_Latn-som_Latn,1-1
fur_Latn-mal_Mlym,1-1
fur_Latn-mkd_Cyrl,1-1
fur_Latn-nno_Latn,1-1
fur_Latn-nob_Latn,1-1
fur_Latn-nor_Latn,1-1
fur_Latn-sin_Sinh,1-1
fur_Latn-sqi_Latn,1-1
fur_Latn-srd_Latn,1-1
fur_Latn-vec_Latn,1-1
gla_Latn-mkd_Cyrl,1-1
gla_Latn-nor_Latn,1-1
gsw_Latn-nob_Latn,1-1
guj_Gujr-hne_Deva,1-1
guj_Gujr-hye_Armn,1-1
guj_Gujr-kan_Knda,1-1
guj_Gujr-kas_Deva,1-1
guj_Gujr-khm_Khmr,1-1
guj_Gujr-kin_Latn,1-1
guj_Gujr-kmr_Latn,1-1
guj_Gujr-mai_Deva,1-1
guj_Gujr-mal_Mlym,1-1
guj_Gujr-mkd_Cyrl,1-1
guj_Gujr-mlg_Latn,1-1
guj_Gujr-mya_Mymr,1-1
guj_Gujr-nep_Deva,1-1
guj_Gujr-nno_Latn,1-1
guj_Gujr-nob_Latn,1-1
guj_Gujr-nor_Latn,1-1
guj_Gujr-npi_Deva,1-1
guj_Gujr-pus_Arab,1-1
guj_Gujr-sin_Sinh,1-1
guj_Gujr-snd_Arab,1-1
guj_Gujr-sqi_Latn,1-1
guj_Gujr-tel_Telu,1-1
guj_Gujr-tgk_Cyrl,1-1
guj_Gujr-wln_Latn,1-1
hbs_Latn-sin_Sinh,1-1
hbs_Latn-sqi_Latn,1-1
hne_Deva-kan_Knda,1-1
hne_Deva-mal_Mlym,1-1
hne_Deva-nep_Deva,1-1
hne_Deva-nno_Latn,1-1
hne_Deva-tel_Telu,1-1
hye_Armn-ibo_Latn,1-1
hye_Armn-jav_Latn,1-1
hye_Armn-kan_Knda,1-1
hye_Armn-khk_Cyrl,1-1
hye_Armn-khm_Khmr,1-1
hye_Armn-kir_Cyrl,1-1
hye_Armn-mal_Mlym,1-1
hye_Armn-mkd_Cyrl,1-1
hye_Armn-mlg_Latn,1-1
hye_Armn-mon_Cyrl,1-1
hye_Armn-mri_Latn,1-1
hye_Armn-mya_Mymr,1-1
hye_Armn-nep_Deva,1-1
hye_Armn-nob_Latn,1-1
hye_Armn-nor_Latn,1-1
hye_Armn-npi_Deva,1-1
hye_Armn-nya_Latn,1-1
hye_Armn-pbt_Arab,1-1
hye_Armn-plt_Latn,1-1
hye_Armn-pus_Arab,1-1
hye_Armn-sin_Sinh,1-1
hye_Armn-som_Latn,1-1
hye_Armn-sqi_Latn,1-1
hye_Armn-srd_Latn,1-1
hye_Armn-sun_Latn,1-1
hye_Armn-tat_Cyrl,1-1
hye_Armn-tel_Telu,1-1
hye_Armn-tgk_Cyrl,1-1
hye_Armn-yue_Hani,1-1
ibo_Latn-jav_Latn,1-1
ibo_Latn-khm_Khmr,1-1
ibo_Latn-kin_Latn,1-1
ibo_Latn-mal_Mlym,1-1
ibo_Latn-mkd_Cyrl,1-1
ibo_Latn-mlg_Latn,1-1
ibo_Latn-mya_Mymr,1-1
ibo_Latn-nep_Deva,1-1
ibo_Latn-nob_Latn,1-1
ibo_Latn-nor_Latn,1-1
ibo_Latn-nso_Latn,1-1
ibo_Latn-nya_Latn,1-1
ibo_Latn-run_Latn,1-1
ibo_Latn-sin_Sinh,1-1
ibo_Latn-sna_Latn,1-1
ibo_Latn-som_Latn,1-1
ibo_Latn-sot_Latn,1-1
ibo_Latn-sqi_Latn,1-1
ibo_Latn-sun_Latn,1-1
ibo_Latn-tel_Telu,1-1
ibo_Latn-tso_Latn,1-1
ibo_Latn-twi_Latn,1-1
ilo_Latn-jav_Latn,1-1
ilo_Latn-mal_Mlym,1-1
ilo_Latn-mkd_Cyrl,1-1
ilo_Latn-mlg_Latn,1-1
ilo_Latn-mri_Latn,1-1
ilo_Latn-nor_Latn,1-1
ilo_Latn-pag_Latn,1-1
ilo_Latn-plt_Latn,1-1
ilo_Latn-sin_Sinh,1-1
ilo_Latn-smo_Latn,1-1
ilo_Latn-sqi_Latn,1-1
ilo_Latn-sun_Latn,1-1
ilo_Latn-war_Latn,1-1
jav_Latn-fur_Latn,1-1
jav_Latn-ltz_Latn,1-1
jav_Latn-lzh_Hani,1-1
jav_Latn-mal_Mlym,1-1
jav_Latn-mkd_Cyrl,1-1
jav_Latn-mlg_Latn,1-1
jav_Latn-mon_Cyrl,1-1
jav_Latn-mri_Latn,1-1
jav_Latn-nep_Deva,1-1
jav_Latn-nob_Latn,1-1
jav_Latn-nor_Latn,1-1
jav_Latn-oci_Latn,1-1
jav_Latn-pag_Latn,1-1
jav_Latn-plt_Latn,1-1
jav_Latn-sin_Sinh,1-1
jav_Latn-smo_Latn,1-1
jav_Latn-som_Latn,1-1
jav_Latn-sqi_Latn,1-1
jav_Latn-srd_Latn,1-1
jav_Latn-sun_Latn,1-1
jav_Latn-tel_Telu,1-1
jav_Latn-war_Latn,1-1
jav_Latn-yue_Hani,1-1
kab_Latn-nor_Latn,1-1
kan_Knda-kas_Deva,1-1
kan_Knda-mai_Deva,1-1
kan_Knda-mal_Mlym,1-1
kan_Knda-mkd_Cyrl,1-1
kan_Knda-mlg_Latn,1-1
kan_Knda-mya_Mymr,1-1
kan_Knda-nep_Deva,1-1
kan_Knda-nob_Latn,1-1
kan_Knda-nor_Latn,1-1
kan_Knda-npi_Deva,1-1
kan_Knda-plt_Latn,1-1
kan_Knda-pus_Arab,1-1
kan_Knda-sin_Sinh,1-1
kan_Knda-snd_Arab,1-1
kan_Knda-som_Latn,1-1
kan_Knda-sqi_Latn,1-1
kan_Knda-tel_Telu,1-1
kan_Knda-wln_Latn,1-1
kas_Arab-tel_Telu,1-1
kas_Deva-mal_Mlym,1-1
kas_Deva-tel_Telu,1-1
khk_Cyrl-mya_Mymr,1-1
khk_Cyrl-nob_Latn,1-1
khk_Cyrl-nor_Latn,1-1
khk_Cyrl-sin_Sinh,1-1
khk_Cyrl-sun_Latn,1-1
khk_Cyrl-tel_Telu,1-1
khk_Cyrl-tgk_Cyrl,1-1
khm_Khmr-kan_Knda,1-1
khm_Khmr-khk_Cyrl,1-1
khm_Khmr-kir_Cyrl,1-1
khm_Khmr-mal_Mlym,1-1
khm_Khmr-mkd_Cyrl,1-1
khm_Khmr-mlg_Latn,1-1
khm_Khmr-mon_Cyrl,1-1
khm_Khmr-mya_Mymr,1-1
khm_Khmr-nep_Deva,1-1
khm_Khmr-nno_Latn,1-1
khm_Khmr-nob_Latn,1-1
khm_Khmr-nor_Latn,1-1
khm_Khmr-npi_Deva,1-1
khm_Khmr-nya_Latn,1-1
khm_Khmr-plt_Latn,1-1
khm_Khmr-pus_Arab,1-1
khm_Khmr-sin_Sinh,1-1
khm_Khmr-som_Latn,1-1
khm_Khmr-sqi_Latn,1-1
khm_Khmr-sun_Latn,1-1
khm_Khmr-tel_Telu,1-1
khm_Khmr-tgk_Cyrl,1-1
khm_Khmr-yue_Hani,1-1
kin_Latn-lin_Latn,1-1
kin_Latn-lua_Latn,1-1
kin_Latn-lug_Latn,1-1
kin_Latn-luo_Latn,1-1
kin_Latn-nso_Latn,1-1
kin_Latn-nya_Latn,1-1
kin_Latn-run_Latn,1-1
kin_Latn-sin_Sinh,1-1
kin_Latn-sna_Latn,1-1
kin_Latn-som_Latn,1-1
kin_Latn-sot_Latn,1-1
kin_Latn-ssw_Latn,1-1
kin_Latn-swc_Latn,1-1
kin_Latn-tso_Latn,1-1
kin_Latn-tum_Latn,1-1
kin_Latn-twi_Latn,1-1
kin_Latn-wln_Latn,1-1
kir_Cyrl-khk_Cyrl,1-1
kir_Cyrl-mal_Mlym,1-1
kir_Cyrl-mkd_Cyrl,1-1
kir_Cyrl-mlg_Latn,1-1
kir_Cyrl-mya_Mymr,1-1
kir_Cyrl-nep_Deva,1-1
kir_Cyrl-nob_Latn,1-1
kir_Cyrl-nor_Latn,1-1
kir_Cyrl-sin_Sinh,1-1
kir_Cyrl-som_Latn,1-1
kir_Cyrl-sqi_Latn,1-1
kir_Cyrl-sun_Latn,1-1
kir_Cyrl-tat_Cyrl,1-1
kir_Cyrl-tel_Telu,1-1
kir_Cyrl-tgk_Cyrl,1-1
kir_Cyrl-uig_Arab,1-1
kmr_Latn-kir_Cyrl,1-1
kmr_Latn-mal_Mlym,1-1
kmr_Latn-mkd_Cyrl,1-1
kmr_Latn-nep_Deva,1-1
kmr_Latn-nno_Latn,1-1
kmr_Latn-nob_Latn,1-1
kmr_Latn-nor_Latn,1-1
kmr_Latn-pbt_Arab,1-1
kmr_Latn-sin_Sinh,1-1
kmr_Latn-tel_Telu,1-1
kmr_Latn-tgk_Cyrl,1-1
lim_Latn-mkd_Cyrl,1-1
lim_Latn-nno_Latn,1-1
lim_Latn-nob_Latn,1-1
lim_Latn-nor_Latn,1-1
lim_Latn-sqi_Latn,1-1
lim_Latn-srd_Latn,1-1
lin_Latn-nso_Latn,1-1
lin_Latn-nya_Latn,1-1
lin_Latn-run_Latn,1-1
lin_Latn-sna_Latn,1-1
lin_Latn-som_Latn,1-1
lin_Latn-sot_Latn,1-1
lin_Latn-tso_Latn,1-1
lin_Latn-tum_Latn,1-1
lin_Latn-twi_Latn,1-1
ltz_Latn-mal_Mlym,1-1
ltz_Latn-mkd_Cyrl,1-1
ltz_Latn-mlg_Latn,1-1
ltz_Latn-nep_Deva,1-1
ltz_Latn-nob_Latn,1-1
ltz_Latn-nor_Latn,1-1
ltz_Latn-oci_Latn,1-1
ltz_Latn-sin_Sinh,1-1
ltz_Latn-sqi_Latn,1-1
ltz_Latn-tel_Telu,1-1
lua_Latn-nya_Latn,1-1
lua_Latn-run_Latn,1-1
lua_Latn-sna_Latn,1-1
lug_Latn-nso_Latn,1-1
lug_Latn-nya_Latn,1-1
lug_Latn-run_Latn,1-1
lug_Latn-sna_Latn,1-1
lug_Latn-som_Latn,1-1
lug_Latn-sot_Latn,1-1
lug_Latn-tso_Latn,1-1
lug_Latn-twi_Latn,1-1
